,regno,page,word,x,y,w,h,conf
0,0012,1,- ,1722,-2,3,31,0.2199999988079071
1,0012,1,con ,878,122,162,280,0.7099999785423279
2,0012,1,(,1085,106,83,280,0.3199999928474426
3,0012,1,18,1187,98,105,280,0.9700000286102295
4,0012,1,/,1282,91,83,280,0.800000011920929
5,0012,1,20,1384,83,105,280,0.6700000166893005
6,0012,1,) ,1536,71,83,280,0.5199999809265137
7,0012,1,Past ,935,467,63,81,0.9300000071525574
8,0012,1,- ,1025,467,23,81,0.7900000214576721
9,0012,1,A ,1074,467,23,81,0.8899999856948853
10,0012,1,Maaa ,579,1002,109,23,0.4399999976158142
11,0012,1,Khoann ,1492,1008,214,42,0.75
12,0012,1,D ,102,742,41,139,0.8399999737739563
13,0012,1,Program ,279,747,234,140,0.8999999761581421
14,0012,1,Counter ,589,758,269,140,0.949999988079071
15,0012,1,Programs ,523,950,239,145,0.9599999785423279
16,0012,1,Counter ,844,944,231,145,0.9399999976158142
17,0012,1,is ,1130,939,81,145,0.9700000286102295
18,0012,1,also ,1262,936,154,145,0.9900000095367432
19,0012,1,known ,1476,932,252,146,0.9800000190734863
20,0012,1,as ,1802,926,81,146,1.0
21,0012,1,Pc,1893,924,133,146,0.7599999904632568
22,0012,1,. ,2019,923,42,145,0.8999999761581421
23,0012,1,It ,2109,921,81,145,0.9100000262260437
24,0012,1,Stores ,210,1108,182,118,0.9599999785423279
25,0012,1,the ,468,1106,101,118,0.9599999785423279
26,0012,1,address ,658,1105,248,118,0.9399999976158142
27,0012,1,of ,984,1102,86,118,0.9700000286102295
28,0012,1,the ,1111,1101,84,118,0.9700000286102295
29,0012,1,next ,1267,1100,169,118,0.9800000190734863
30,0012,1,instruction ,1535,1098,351,118,0.9900000095367432
31,0012,1,to ,2039,1094,64,118,0.9900000095367432
32,0012,1,be ,2135,1093,107,118,0.8899999856948853
33,0012,1,executed,219,1225,351,147,0.9599999785423279
34,0012,1,. ,575,1225,43,147,0.9599999785423279
35,0012,1,The ,718,1225,84,147,1.0
36,0012,1,value ,855,1225,200,147,0.9900000095367432
37,0012,1,of ,1129,1225,81,147,1.0
38,0012,1,pc ,1257,1225,108,147,0.8700000047683716
39,0012,1,cuill ,1433,1225,150,147,0.8999999761581421
40,0012,1,be ,1625,1225,56,147,0.9900000095367432
41,0012,1,incremented ,1759,1225,470,147,0.9800000190734863
42,0012,1,after ,232,1372,183,136,0.9800000190734863
43,0012,1,that ,510,1374,150,136,0.9700000286102295
44,0012,1,proces ,741,1376,177,136,0.8600000143051147
45,0012,1,in ,993,1378,75,136,0.8299999833106995
46,0012,1,.,1100,1379,39,135,0.8299999833106995
47,0012,1,pc ,1161,1380,52,135,0.7300000190734863
48,0012,1,is ,1270,1380,52,136,0.8199999928474426
49,0012,1,being ,1448,1382,178,135,0.9700000286102295
50,0012,1,loaded,1693,1383,218,136,0.9900000095367432
51,0012,1,. ,1930,1385,39,135,0.7599999904632568
52,0012,1,So ,2060,1386,50,136,0.9300000071525574
53,0012,1,that ,2149,1387,163,135,0.9200000166893005
54,0012,1,every ,252,1540,172,117,0.9599999785423279
55,0012,1,time ,517,1538,148,117,0.9800000190734863
56,0012,1,the ,776,1536,84,116,0.9900000095367432
57,0012,1,PC ,899,1535,129,117,0.8199999928474426
58,0012,1,cuill ,1125,1533,148,117,0.8600000143051147
59,0012,1,contain ,1349,1532,243,116,0.9800000190734863
60,0012,1,the ,1685,1529,84,116,0.9900000095367432
61,0012,1,addrees ,1885,1527,249,117,0.9100000262260437
62,0012,1,of ,2188,1525,64,117,0.9599999785423279
63,0012,1,hext ,222,1684,140,116,0.9399999976158142
64,0012,1,instruction,421,1680,361,117,0.9399999976158142
65,0012,1,. ,797,1673,34,116,0.9599999785423279
66,0012,1,It,894,1671,64,117,0.9800000190734863
67,0012,1,',956,1670,34,116,0.8799999952316284
68,0012,1,s ,985,1669,34,116,1.0
69,0012,1,output ,1110,1666,219,117,0.9800000190734863
70,0012,1,is ,1408,1661,86,116,0.9900000095367432
71,0012,1,hood ,1562,1658,163,117,0.8100000023841858
72,0012,1,to ,1850,1653,64,116,0.9399999976158142
73,0012,1,fetch ,2031,1649,143,117,0.8600000143051147
74,0012,1,data ,241,1821,116,93,0.9900000095367432
75,0012,1,and ,468,1819,79,93,0.9900000095367432
76,0012,1,used ,637,1818,141,93,0.9900000095367432
77,0012,1,to ,938,1816,51,92,0.9900000095367432
78,0012,1,store ,1083,1815,148,93,0.9700000286102295
79,0012,1,the ,1389,1813,79,92,0.9900000095367432
80,0012,1,instruction ,1592,1811,398,93,0.9700000286102295
81,0012,1,in ,2104,1807,35,93,0.9900000095367432
82,0012,1,IR,2222,1806,51,93,0.949999988079071
83,0012,1,. ,2304,1806,26,92,0.9300000071525574
84,0012,1,Ihsbouction ,221,1963,387,153,0.75
85,0012,1,Register ,714,1972,294,153,0.8600000143051147
86,0012,1,. ,1327,2016,23,81,0.4000000059604645
87,0012,1,Instruction ,536,2161,376,140,0.9100000262260437
88,0012,1,Registoff ,1015,2172,292,140,0.8899999856948853
89,0012,1,is ,1376,2181,77,139,0.8299999833106995
90,0012,1,known ,1511,2183,264,141,0.9399999976158142
91,0012,1,as ,1841,2192,77,139,1.0
92,0012,1,IR,1948,2195,103,139,0.8999999761581421
93,0012,1,. ,2063,2197,41,139,0.8799999952316284
94,0012,1,It ,2164,2199,77,140,0.8299999833106995
95,0012,1,. ,-11,2279,42,143,0.9200000166893005
96,0012,1,X ,120,2283,42,143,0.6299999952316284
97,0012,1,is ,229,2287,54,143,0.9200000166893005
98,0012,1,being ,384,2292,195,144,0.9599999785423279
99,0012,1,used ,658,2301,168,144,0.9900000095367432
100,0012,1,to ,934,2311,79,144,0.9900000095367432
101,0012,1,store ,1050,2315,175,143,0.9900000095367432
102,0012,1,the ,1330,2325,104,143,0.9900000095367432
103,0012,1,comently ,1514,2330,363,145,0.8500000238418579
104,0012,1,executing ,1957,2345,390,144,0.9900000095367432
105,0012,1,linstonetich,213,2426,453,140,0.7900000214576721
106,0012,1,. ,669,2440,41,139,0.8500000238418579
107,0012,1,when ,779,2443,149,139,0.8299999833106995
108,0012,1,ever ,988,2449,123,140,0.9399999976158142
109,0012,1,the ,1180,2456,100,139,0.9900000095367432
110,0012,1,curment ,1404,2462,295,140,0.9200000166893005
111,0012,1,proces ,1860,2476,226,139,0.7400000095367432
112,0012,1,is ,2156,2485,54,139,0.9700000286102295
113,0012,1,being ,243,2573,161,149,0.9599999785423279
114,0012,1,executed ,477,2580,332,149,0.9700000286102295
115,0012,1,the ,942,2593,128,148,0.9900000095367432
116,0012,1,IR ,1182,2599,83,148,0.6899999976158142
117,0012,1,is ,1272,2602,83,148,0.7799999713897705
118,0012,1,being ,1422,2606,201,148,0.9599999785423279
119,0012,1,loaded ,1697,2613,227,148,0.9800000190734863
120,0012,1,from ,2078,2623,137,149,0.9399999976158142
121,0012,1,the ,291,2741,110,153,0.9900000095367432
122,0012,1,program ,461,2744,276,155,0.8799999952316284
123,0012,1,countes,794,2754,316,153,0.75
124,0012,1,. ,1114,2763,45,153,0.5699999928474426
125,0012,1,(,1176,2764,45,153,0.7799999713897705
126,0012,1,Pc,1225,2766,85,153,0.5899999737739563
127,0012,1,),1330,2768,45,153,0.9700000286102295
128,0012,1,. ,1376,2770,45,153,0.46000000834465027
