,regno,page,word,x,y,w,h,conf
0,0006,1,Program ,27,490,176,82,0.9399999976158142
1,0006,1,Counter ,247,482,177,82,0.9599999785423279
2,0006,1,It ,17,612,25,68,0.75
3,0006,1,contains ,117,609,203,68,0.8899999856948853
4,0006,1,the ,384,600,68,67,0.9900000095367432
5,0006,1,addier ,526,595,165,68,0.5799999833106995
6,0006,1,of ,749,588,38,67,0.8600000143051147
7,0006,1,the ,857,584,76,67,0.8199999928474426
8,0006,1,current ,986,579,199,68,0.7799999713897705
9,0006,1,instruction ,1252,570,277,68,0.8999999761581421
10,0006,1,in ,1594,559,25,67,0.7099999785423279
11,0006,1,execution,1663,556,233,68,0.9599999785423279
12,0006,1,. ,1917,548,19,67,0.9300000071525574
13,0006,1,it ,35,722,44,80,0.9700000286102295
14,0006,1,helps ,147,717,132,81,0.9599999785423279
15,0006,1,in ,304,711,46,80,0.8899999856948853
16,0006,1,Sending ,452,706,177,80,0.9599999785423279
17,0006,1,control ,672,697,205,80,0.8899999856948853
18,0006,1,signals ,943,686,177,81,0.8700000047683716
19,0006,1,to ,1156,678,46,80,0.949999988079071
20,0006,1,perform ,1256,674,175,81,0.9200000166893005
21,0006,1,various ,1510,664,195,81,0.7900000214576721
22,0006,1,operations,1749,655,299,81,0.9100000262260437
23,0006,1,. ,2056,644,23,80,0.8899999856948853
24,0006,1,instrection,24,902,260,84,0.8100000023841858
25,0006,1,. ,313,908,24,83,0.6800000071525574
26,0006,1,Register,347,908,178,84,0.7699999809265137
27,0006,1,. ,548,912,24,83,0.3100000023841858
28,0006,1,e ,786,915,14,83,0.12999999523162842
29,0006,1,in ,31,1086,26,70,0.4000000059604645
30,0006,1,Contains ,150,1080,202,70,0.9100000262260437
31,0006,1,the ,415,1067,60,69,0.9599999785423279
32,0006,1,Current ,569,1058,167,70,0.9200000166893005
33,0006,1,instruction ,807,1046,277,71,0.9800000190734863
34,0006,1,that ,1156,1029,95,69,0.9900000095367432
35,0006,1,is ,1294,1021,38,69,0.9900000095367432
36,0006,1,being ,1341,1019,141,69,0.9300000071525574
37,0006,1,executed,1518,1009,216,71,0.9700000286102295
38,0006,1,. ,1761,997,20,69,0.5400000214576721
39,0006,1,at ,2129,1098,40,72,0.9700000286102295
40,0006,1,the ,2240,1092,62,73,0.9599999785423279
41,0006,1,iostruction ,863,1160,299,49,0.7099999785423279
42,0006,1,. ,1226,1182,13,47,0.4399999976158142
43,0006,1,the ,747,1177,62,72,1.0
44,0006,1,providing ,454,1193,209,73,0.9800000190734863
45,0006,1,instruction ,885,1168,270,74,0.9900000095367432
46,0006,1,that ,1257,1147,81,73,0.9900000095367432
47,0006,1,has ,1398,1139,93,74,0.9900000095367432
48,0006,1,to ,1539,1131,37,73,0.9900000095367432
49,0006,1,be ,1628,1127,93,72,0.9900000095367432
50,0006,1,perfoimed ,1786,1117,262,74,0.9800000190734863
51,0006,1,it ,44,1216,40,72,0.949999988079071
52,0006,1,helps ,119,1212,126,73,0.9100000262260437
53,0006,1,in ,291,1202,40,72,0.9200000166893005
54,0006,1,. ,1748,1212,13,47,0.23000000417232513
55,0006,1,. ,2084,1231,13,47,0.07000000029802322
56,0006,1,time ,59,1322,104,62,0.949999988079071
57,0006,1,of ,241,1322,35,62,0.75
58,0006,1,execution ,350,1322,230,62,0.9800000190734863
59,0006,1,des ,684,1322,106,62,0.49000000953674316
60,0006,1,ou ,2185,1592,28,31,0.6499999761581421
61,0006,1,Byte ,38,1588,73,64,0.9900000095367432
62,0006,1,addressable ,168,1577,291,65,0.9200000166893005
63,0006,1,memory ,512,1549,208,64,0.9900000095367432
64,0006,1,: ,750,1529,18,63,0.8899999856948853
65,0006,1,M ,891,1517,18,63,0.2199999988079071
66,0006,1,is ,980,1511,44,63,0.44999998807907104
67,0006,1,diftineant ,1062,1503,241,64,0.8500000238418579
68,0006,1,to ,1380,1478,47,63,0.9599999785423279
69,0006,1,than ,1498,1467,125,64,0.7300000190734863
70,0006,1,a ,1714,1450,18,63,0.8799999952316284
71,0006,1,when ,1825,1440,112,64,0.800000011920929
72,0006,1,each ,1984,1427,100,64,0.9399999976158142
73,0006,1,bit ,2120,1416,80,63,0.9800000190734863
74,0006,1,has ,25,1694,79,70,0.9900000095367432
75,0006,1,an ,185,1680,51,70,0.9900000095367432
76,0006,1,addrees ,321,1668,172,71,0.949999988079071
77,0006,1,it ,572,1647,38,69,0.9800000190734863
78,0006,1,is ,669,1638,38,69,0.9800000190734863
79,0006,1,is ,760,1630,38,70,0.9599999785423279
80,0006,1,difficult ,865,1621,205,70,0.9599999785423279
81,0006,1,to ,1192,1593,38,69,1.0
82,0006,1,accus ,1311,1583,120,69,0.9700000286102295
83,0006,1,each ,1510,1565,90,71,0.9599999785423279
84,0006,1,bit ,1685,1550,67,71,0.9700000286102295
85,0006,1,addrees ,1845,1536,187,70,0.9399999976158142
86,0006,1,para ,2127,1512,90,70,0.6299999952316284
87,0006,1,instead,35,1798,149,70,0.9800000190734863
88,0006,1,. ,212,1783,20,69,0.28999999165534973
89,0006,1,She ,281,1776,79,70,0.8999999761581421
90,0006,1,address ,445,1761,190,69,0.8899999856948853
91,0006,1,of ,730,1735,38,69,0.9599999785423279
92,0006,1,the ,821,1726,68,70,0.9900000095367432
93,0006,1,we ,951,1715,76,69,0.9900000095367432
94,0006,1,can ,1092,1702,69,70,0.9900000095367432
95,0006,1,access ,1246,1687,123,71,0.9599999785423279
96,0006,1,the ,1455,1668,59,70,0.9800000190734863
97,0006,1,address ,1622,1653,164,70,0.9599999785423279
98,0006,1,of ,1861,1631,26,70,0.9700000286102295
99,0006,1,next ,1958,1623,108,69,0.949999988079071
100,0006,1,contre ,2154,1604,120,71,0.7200000286102295
101,0006,1,neare ,39,1911,49,59,0.38999998569488525
102,0006,1,e ,181,1898,16,58,0.49000000953674316
103,0006,1,Recent ,256,1890,202,59,0.28999999165534973
104,0006,1,Continiously ,535,1864,318,60,0.44999998807907104
105,0006,1,Way ,952,1826,59,58,0.6700000166893005
106,0006,1,ment ,1078,1814,120,58,0.5799999833106995
107,0006,1,in ,1234,1799,29,58,0.7900000214576721
108,0006,1,a ,1373,1787,16,58,0.75
109,0006,1,sequential ,1504,1774,302,59,0.8399999737739563
110,0006,1,manner,1833,1743,230,59,0.9900000095367432
111,0006,1,. ,2096,1720,16,58,0.20999999344348907
112,0006,1,& ,11,1837,28,96,0.6499999761581421
113,0006,1,bit ,62,1837,68,96,0.8700000047683716
114,0006,1,as ,165,1837,69,96,0.9100000262260437
115,0006,1,a ,264,1837,28,96,0.9800000190734863
116,0006,1,bute ,334,1837,94,96,0.9399999976158142
117,0006,1,to ,447,1837,29,96,0.7200000286102295
118,0006,1,continiously ,540,1837,322,96,0.8999999761581421
119,0006,1,a ,943,1837,28,96,0.3799999952316284
120,0006,1,. ,346,2136,14,51,0.9200000166893005
121,0006,1,8 ,575,2134,14,51,0.7400000095367432
122,0006,1,bit ,598,2134,66,51,0.8399999737739563
123,0006,1,8 ,762,2133,14,51,0.44999998807907104
124,0006,1,bit ,788,2132,65,52,0.8999999761581421
125,0006,1,8 ,1012,2131,14,51,0.800000011920929
126,0006,1,bit ,1038,2130,73,52,0.9700000286102295
127,0006,1,8 ,1288,2139,11,42,0.9800000190734863
128,0006,1,bit ,1316,2139,73,42,0.9399999976158142
129,0006,1,Alçu ,1329,2212,77,43,0.30000001192092896
130,0006,1,; ,444,2232,13,47,0.07000000029802322
131,0006,1,ASCH ,590,2238,103,48,0.4399999976158142
132,0006,1,Asch ,818,2223,66,40,0.9200000166893005
133,0006,1,biq ,108,2400,54,76,0.9200000166893005
134,0006,1,endian ,223,2399,165,77,0.8500000238418579
135,0006,1,type,416,2398,85,77,0.9800000190734863
136,0006,1,. ,515,2398,22,76,0.9200000166893005
137,0006,1,little ,1530,2374,107,81,0.7900000214576721
138,0006,1,endia,1725,2369,128,81,0.8700000047683716
139,0006,1,',1847,2367,23,80,0.949999988079071
140,0006,1,n ,1860,2366,23,80,0.8299999833106995
141,0006,1,types ,1930,2364,162,82,0.6399999856948853
142,0006,1,. ,2266,2356,23,80,0.14000000059604645
143,0006,1,Y ,384,2590,1,7,0.11999999731779099
144,0006,1,11 ,405,2590,5,7,0.07999999821186066
145,0006,1,- ,5,2553,22,76,0.6600000262260437
