,regno,page,word,x,y,w,h,conf
0,0011,1,COA ,828,67,111,77,0.8899999856948853
1,0011,1,Program ,108,434,286,116,0.9599999785423279
2,0011,1,Countes ,537,425,237,117,0.9599999785423279
3,0011,1,PC ,561,577,60,82,0.699999988079071
4,0011,1,is ,757,575,29,81,0.6399999856948853
5,0011,1,a ,899,574,23,81,0.9200000166893005
6,0011,1,register ,1014,572,227,82,0.9399999976158142
7,0011,1,whoch ,1356,567,205,82,0.9599999785423279
8,0011,1,stoves ,1724,563,195,82,0.8500000238418579
9,0011,1,the ,2025,559,80,82,0.9700000286102295
10,0011,1,address ,2173,557,232,82,0.9900000095367432
11,0011,1,nenit ,45,714,161,81,0.7699999809265137
12,0011,1,instruction ,365,706,361,82,0.9300000071525574
13,0011,1,to ,867,694,44,82,0.949999988079071
14,0011,1,be ,993,691,103,81,0.9200000166893005
15,0011,1,executed,1230,685,291,82,0.9800000190734863
16,0011,1,. ,1545,678,23,81,0.9900000095367432
17,0011,1,A ,1790,672,23,81,0.9800000190734863
18,0011,1,program ,1850,670,323,83,0.9800000190734863
19,0011,1,Start ,78,824,188,92,0.8600000143051147
20,0011,1,execution ,408,816,348,91,0.949999988079071
21,0011,1,when ,844,805,199,91,0.9900000095367432
22,0011,1,it ,1173,796,35,91,0.9900000095367432
23,0011,1,wacks ,1324,791,162,92,0.7799999713897705
24,0011,1,the ,1569,785,79,92,0.9100000262260437
25,0011,1,address ,1750,780,233,92,0.949999988079071
26,0011,1,of ,2073,772,84,91,0.9900000095367432
27,0011,1,first ,122,944,130,81,0.9700000286102295
28,0011,1,locahon ,352,937,222,81,0.9599999785423279
29,0011,1,of ,677,927,44,80,0.7599999904632568
30,0011,1,pc,810,923,105,80,0.8500000238418579
31,0011,1,. ,937,919,23,80,0.8899999856948853
32,0011,1,PC ,1135,912,44,80,0.8899999856948853
33,0011,1,increments ,1343,905,408,81,0.949999988079071
34,0011,1,after ,1914,887,134,81,0.9300000071525574
35,0011,1,load ,2163,878,133,82,0.8700000047683716
36,0011,1,each ,116,1050,131,90,0.9900000095367432
37,0011,1,instruction ,330,1050,368,90,0.9800000190734863
38,0011,1,Instruction ,161,1246,386,92,0.9300000071525574
39,0011,1,Registee ,707,1224,294,93,0.9599999785423279
40,0011,1,Instruction ,451,1394,403,118,0.9800000190734863
41,0011,1,Registes ,993,1370,249,118,0.949999988079071
42,0011,1,(,1328,1357,34,117,0.3799999952316284
43,0011,1,IR,1379,1354,64,117,0.75
44,0011,1,) ,1482,1350,34,117,0.6600000262260437
45,0011,1,storee ,1650,1342,218,118,0.8999999761581421
